country_id,client,year,month,day,spend
9,fruit_battle,2021,12,15,4.84100002329797
4,fruit_battle,2021,12,15,36.626018833369
10,fruit_battle,2021,12,11,30.0139523213729
9,fruit_battle,2021,12,11,10.7710000649095
4,fruit_battle,2021,12,12,40.9889095542021
29,fruit_battle,2021,12,12,238.305254052393
29,fruit_battle,2021,12,14,149.154809241183
23,fruit_battle,2021,12,8,70.785000548698
7,fruit_battle,2021,12,8,111.671002020594
10,fruit_battle,2021,12,8,53.613241745159
7,fruit_battle,2021,12,16,29.5007069457788
23,fruit_battle,2021,12,16,16.4500002451241
10,fruit_battle,2021,12,16,15.444305870682
29,fruit_battle,2021,12,1,681.962436262867
4,fruit_battle,2021,12,1,36.7269372204319
9,fruit_battle,2021,12,1,86.0260012573563
29,fruit_battle,2021,12,5,1076.61742024543
4,fruit_battle,2021,12,5,144.048333342653
29,fruit_battle,2021,12,10,431.682514226064
9,fruit_battle,2021,12,10,10.074000261724
7,fruit_battle,2021,12,4,292.578538778704
23,fruit_battle,2021,12,4,100.305998904165
9,fruit_battle,2021,12,4,187.121004141867
10,fruit_battle,2021,12,3,62.8630055985413
9,fruit_battle,2021,12,13,2.66900002025068
4,fruit_battle,2021,12,13,36.6725136805326
29,fruit_battle,2021,12,13,279.801089592162
29,fruit_battle,2021,12,7,896.214486110024
10,fruit_battle,2021,12,7,69.9124552030116
7,fruit_battle,2021,12,7,140.805364928208
23,fruit_battle,2021,11,30,73.5499987797812
7,fruit_battle,2021,11,30,128.320967754349
10,fruit_battle,2021,11,30,126.175342704635
29,fruit_battle,2021,12,15,163.543960728683
4,fruit_battle,2021,12,11,44.2115468898555
29,fruit_battle,2021,12,11,342.067036148626
23,fruit_battle,2021,12,6,114.67100109579
10,fruit_battle,2021,12,9,32.3653296008706
7,fruit_battle,2021,12,9,74.215980459936
23,fruit_battle,2021,12,9,58.6730003892444
7,fruit_battle,2021,12,14,17.7559612058103
23,fruit_battle,2021,12,14,13.0970001937822
29,fruit_battle,2021,12,8,763.829842642881
9,fruit_battle,2021,12,8,70.4830012456514
29,fruit_battle,2021,12,16,156.176393527538
4,fruit_battle,2021,12,16,30.9897302566096
9,fruit_battle,2021,12,16,14.9680000620428
4,fruit_battle,2021,12,10,43.0327820531093
29,fruit_battle,2021,12,4,1216.29326832853
4,fruit_battle,2021,12,4,123.073326946236
23,fruit_battle,2021,12,2,54.8949988819659
7,fruit_battle,2021,12,2,75.6716347290203
29,fruit_battle,2021,12,3,395.201385393972
4,fruit_battle,2021,12,3,97.5398809486069
9,fruit_battle,2021,12,3,52.5890000648797
4,fruit_battle,2021,12,7,113.752480402123
9,fruit_battle,2021,12,7,76.2060013581067
29,fruit_battle,2021,11,30,778.187225316186
10,fruit_battle,2021,12,15,12.2443073643371
4,fruit_battle,2021,12,6,93.7194303814322
29,fruit_battle,2021,12,6,602.433062058641
10,fruit_battle,2021,12,6,49.8070377702825
23,fruit_battle,2021,12,12,46.5500006936491
7,fruit_battle,2021,12,12,25.9676588568836
9,fruit_battle,2021,12,12,6.82800003793091
4,fruit_battle,2021,12,14,32.5414543314837
9,fruit_battle,2021,12,14,1.69900000840425
4,fruit_battle,2021,12,8,96.4728342341259
23,fruit_battle,2021,12,1,69.2429986568168
7,fruit_battle,2021,12,1,138.132899114862
23,fruit_battle,2021,12,5,163.483000231907
9,fruit_battle,2021,12,5,101.968001264147
10,fruit_battle,2021,12,10,24.5285132685676
7,fruit_battle,2021,12,10,41.0772804934531
10,fruit_battle,2021,12,4,123.703171064146
29,fruit_battle,2021,12,2,463.565472851507
9,fruit_battle,2021,12,2,38.1840000750963
4,fruit_battle,2021,12,2,80.5542195541784
7,fruit_battle,2021,12,3,108.764043194242
23,fruit_battle,2021,12,3,65.0299987085164
23,fruit_battle,2021,12,13,22.5000003352761
10,fruit_battle,2021,12,13,14.929706396535
23,fruit_battle,2021,12,7,117.027000865666
9,fruit_battle,2021,11,30,55.4830007976852
4,fruit_battle,2021,11,30,58.4905094061978
23,fruit_battle,2021,12,15,21.3470003167167
7,fruit_battle,2021,12,15,22.4153778315522
23,fruit_battle,2021,12,11,64.4650009600446
7,fruit_battle,2021,12,11,28.3619658639655
7,fruit_battle,2021,12,6,141.758094538469
9,fruit_battle,2021,12,6,58.8060018641409
10,fruit_battle,2021,12,12,28.9148924318142
4,fruit_battle,2021,12,9,66.934828995727
29,fruit_battle,2021,12,9,839.797750937752
9,fruit_battle,2021,12,9,26.9770008213818
10,fruit_battle,2021,12,14,13.292275366839
10,fruit_battle,2021,12,1,100.676983941346
7,fruit_battle,2021,12,5,182.32452590391
10,fruit_battle,2021,12,5,118.108083449304
23,fruit_battle,2021,12,10,56.6020007001935
10,fruit_battle,2021,12,2,69.8314945893362
7,fruit_battle,2021,12,13,18.8108370602131
